Aダイヤ 東京駅 上り時刻表,,,,,,,
6,やまびこ,つばさ,やまびこ*,はやぶさ･こまち,やまびこ*,,
,4,12,20,32,40,,
,盛岡,新庄,仙台,新函館北斗･秋田,仙台,,
,23,20,23,22,21,,
7,なすの,やまびこ･つばさ,はやぶさ,はやぶさ･こまち,やまびこ,やまびこ*,はやぶさ
,0,12,16,32,40,44,56
,那須塩原,仙台･新庄,盛岡,新青森･秋田,仙台,仙台,盛岡
,20,21,20,20,23,21,23
8,やまびこ･つばさ,はやぶさ,なすの,はやぶさ･こまち,やまびこ,つばさ,
,7,18,26,37,45,56,
,仙台･山形,新函館北斗,郡山,新青森･秋田,盛岡,山形,
,22,20,23,22,21,23,
9,はやぶさ･こまち,なすの,やまびこ･つばさ,はやぶさ,やまびこ,,
,8,16,24,36,40,,
,新青森･秋田,郡山,仙台･新庄,新函館北斗,盛岡,,
,22,21,22,20,22,,
10,やまびこ･つばさ,はやぶさ,やまびこ*,はやぶさ･こまち,やまびこ,はやぶさ,
,0,3,11,18,37,45,
,仙台･新庄,仙台,仙台,新青森･秋田,盛岡,新函館北斗,
,21,23,22,23,20,21,
11,やまびこ･つばさ,なすの,はやぶさ･こまち,やまびこ,はやぶさ,,
,0,8,20,36,56,,
,仙台･山形,郡山,新青森･秋田,盛岡,新青森,,
,21,20,20,21,20,,
12,やまびこ･つばさ,やまびこ*,はやぶさ･こまち,やまびこ,,,
,0,12,20,36,,,
,仙台･新庄,仙台,新函館北斗･秋田,盛岡,,,
,23,23,22,22,,,
13,つばさ,なすの,はやぶさ･こまち,やまびこ,,,
,0,12,20,36,,,
,山形,郡山,新函館北斗･秋田,盛岡,,,
,22,20,22,22,,,
14,やまびこ･つばさ,やまびこ*,はやぶさ･こまち,やまびこ,はやぶさ,,
,0,12,20,36,44,,
,仙台･新庄,仙台,新函館北斗･秋田,盛岡,新青森,,
,21,21,20,20,23,,
15,やまびこ･つばさ,なすの,はやぶさ･こまち,やまびこ,,,
,0,12,20,36,,,
,仙台･山形,郡山,新函館北斗･秋田,盛岡,,,
,21,23,21,21,,,
16,やまびこ･つばさ,やまびこ*,はやぶさ･こまち,やまびこ,はやぶさ,,
,0,12,20,36,56,,
,仙台･新庄,仙台,新青森･秋田,仙台,盛岡,,
,23,22,23,23,21,,
17,やまびこ･つばさ,なすの,はやぶさ･こまち,やまびこ,なすの,はやぶさ,
,0,16,20,28,36,56,
,仙台･山形,那須塩原,新函館北斗･秋田,仙台,郡山,盛岡,
,22,20,22,21,22,23,
18,やまびこ･つばさ,なすの,はやぶさ･こまち,やまびこ,やまびこ*,はやぶさ,
,0,8,20,28,36,56,
,仙台･山形,那須塩原,新青森･秋田,仙台,仙台,盛岡,
,21,22,21,23,21,22,
19,なすの,やまびこ･つばさ,はやぶさ･こまち,やまびこ*,はやぶさ,なすの,
,0,16,20,28,40,56,
,那須塩原,仙台･新庄,新函館北斗･秋田,仙台,盛岡,那須塩原,
,23,20,23,22,21,21,
20,やまびこ,はやぶさ･こまち,なすの,やまびこ･つばさ,やまびこ*,,
,8,16,28,44,56,,
,盛岡,新青森･秋田,那須塩原,仙台･山形,仙台,,
,20,22,21,23,21,,
21,やまびこ*,はやぶさ,なすの,,,,
,24,36,44,,,,
,仙台,仙台,那須塩原,,,,
,20,21,23,,,,
22,なすの,なすの,,,,,
,0,24,,,,,
,那須塩原,那須塩原,,,,,
,20,20,,,,,
