土休日ダイヤ 広島駅 上り時刻表,,,,,,
5,普通,,,,,
,53,,,,,
,糸崎,,,,,
,5,,,,,
6,普通,普通,,,,
,11,35,,,,
,白市,糸崎,,,,
,5,5,,,,
7,普通,普通,普通,普通,,
,03,25,45,57,,
,糸崎,白市,糸崎,白市,,
,7,7,5,5,,
8,普通,普通,普通,,,
,11,31,48,,,
,糸崎,白市,糸崎,,,
,5,5,5,,,
9,普通,普通,普通,普通,,
,02,20,35,50,,
,西条,白市,白市,糸崎,,
,5,4,5,5,,
10,普通,普通,普通,普通,,
,05,20,35,50,,
,白市,白市,白市,糸崎,,
,5,5,5,5,,
11,普通,普通,普通,普通,,
,05,20,35,50,,
,白市,白市,白市,糸崎,,
,5,4,5,5,,
12,普通,普通,普通,普通,,
,05,20,35,50,,
,白市,白市,白市,糸崎,,
,5,5,5,5,,
13,普通,普通,普通,普通,,
,05,20,35,50,,
,白市,白市,白市,糸崎,,
,5,5,5,5,,
14,普通,普通,普通,普通,,
,05,20,35,50,,
,白市,白市,白市,糸崎,,
,5,5,5,5,,
15,普通,普通,普通,普通,,
,05,20,35,50,,
,白市,白市,糸崎,白市,,
,5,5,5,5,,
16,普通,普通,普通,普通,,
,05,20,35,50,,
,糸崎,白市,糸崎,白市,,
,5,5,7,7,,
17,普通,普通,普通,普通,普通,普通
,05,15,25,35,45,55
,西条,糸崎,白市,西条,糸崎,白市
,7,7,5,7,7,7
18,普通,普通,普通,普通,普通,普通
,05,15,25,35,45,55
,西条,糸崎,西条,白市,糸崎,白市
,7,7,7,7,7,7
19,普通,普通,普通,普通,普通,
,05,15,25,35,50,
,西条,糸崎,瀬野,白市,糸崎,
,7,3,7,7,7,
20,普通,普通,普通,,,
,05,25,40,,,
,白市,糸崎,白市,,,
,7,7,7,,,
21,普通,普通,普通,,,
,00,20,40,,,
,糸崎,白市,白市,,,
,7,7,7,,,
22,普通,普通,普通,,,
,00,25,50,,,
,糸崎,白市,白市,,,
,7,7,7,,,
23,普通,普通,,,,
,14,40,,,,
,西条,白市,,,,
,7,7,,,,
0,普通,,,,,
,03,,,,,
,西条,,,,,
,7,,,,,
